Full_name,Client ID,Date of Birth,Country,ID Number,ID Type,Onboarding Date,KYC Status,Account Type,Aadhaar Number,PAN,Country_Corrected,flag
Rose Mcdonald,CL958620,1970-10-25,Netherlands,mr662056,Passport,2022-12-18,Incomplete,HNI,,,Netherlands,Incomplete KYC
Larry Bradford,CL726680,1951-05-31,Bosnia and Herzegovina,nM342811,Driver License,2022-07-20,Incomplete,Retail,,,Bosnia and Herzegovina,Incomplete KYC
Chelsea Harris,CL234966,1951-09-15,Saudi Arabia,KY341990,Passport,2024-07-23,Incomplete,Retail,,,Saudi Arabia,Incomplete KYC
Brandon Parker,CL545440,1973-10-09,Aruba,Uw468356,Passport,2023-01-20,,Corporate,,,Aruba,Incomplete KYC
,CL213054,1995-06-01,Reunion,,National ID,2022-12-01,Complete,Corporate,,,Réunion,Missing Full Name
,CL416298,1977-03-21,North korea,Yy818209,Passport,2024-07-12,Complete,HNI,,,North korea,"Missing Full Name, High-Risk Country"
Amanda Martin,CL468609,1995-12-09,Namibia,,Passport,2024-06-21,Incomplete,HNI,,,Namibia,Incomplete KYC
Dustin Ortiz,CL215674,1991-09-03,North korea,xf275895,Driver License,2025-05-27,Incomplete,HNI,,,North korea,"Incomplete KYC, High-Risk Country"
Deborah Hutchinson,CL617695,1995-12-14,Isle of Man,jg090380,Driver License,2023-09-27,Incomplete,HNI,,,Isle of Man,Incomplete KYC
Sylvia Nielsen,CL113406,2001-10-12,Cocos (Keeling) Islands,vM636515,Driver License,2024-07-27,Incomplete,Corporate,,,Cocos (Keeling) Islands,Incomplete KYC
Timothy Ward,CL167853,1978-10-09,Singapore,rq730306,Passport,2025-03-16,Incomplete,Retail,,,Singapore,Incomplete KYC
Benjamin Sullivan,CL623354,1969-10-21,Christmas Island,df768342,National ID,2024-04-28,Incomplete,HNI,,,Christmas Island,Incomplete KYC
Elizabeth Gonzalez,CL799061,1978-01-08,Guam,SK778265,Driver License,2024-02-27,Incomplete,Retail,,,Guam,Incomplete KYC
Ashley Cordova,CL622332,1977-02-26,Luxembourb,OL480727,Passport,2022-12-01,Incomplete,Retail,,,Luxembourg,Incomplete KYC
William Fisher,CL897097,1986-08-31,Argentina,,National ID,2023-03-18,Incomplete,Retail,,,Argentina,Incomplete KYC
Dr. Jason Bell PhD,CL224921,1978-06-25,Reunion,xl851276,Driver License,2024-11-07,Incomplete,Corporate,,,Réunion,Incomplete KYC
Jeffrey Mitchell,CL917241,1994-05-22,Nepaf,fP649111,National ID,2022-07-28,Incomplete,Retail,,,Nepaf,Incomplete KYC
Ashley Brady,CL901123,1991-12-15,Nicaragua,Qs817890,National ID,2024-04-16,Incomplete,Corporate,,,Nicaragua,Incomplete KYC
Jesse James,CL158444,1962-10-23,Croatia,ax715766,Driver License,2023-06-15,Incomplete,HNI,,,Croatia,Incomplete KYC
Rebecca Lane,CL468332,1958-04-10,India,,Passport,2025-03-17,Incomplete,HNI,,HKBOG6265T,India,"Incomplete KYC, Missing Aadhaar Number"
Bryan Ray,CL278026,1976-03-06,Spain,,Driver License,2025-03-03,,HNI,,,Spain,Incomplete KYC
Paula Lopez,CL799806,1993-11-27,Korea,Xq343836,National ID,2025-04-22,Incomplete,Retail,,,"Korea, Republic of",Incomplete KYC
Timothy Burton,CL925386,1992-12-11,Austria,,National ID,2024-12-18,Incomplete,Retail,,,Austria,Incomplete KYC
Jorge Hernandez,CL428574,1974-05-02,Mauritania,fU130523,Driver License,2025-06-11,Incomplete,HNI,,,Mauritania,Incomplete KYC
Donald Gonzalez,CL119506,1955-10-05,Wallis and Futuna,Gz584776,National ID,2023-04-28,Incomplete,Retail,,,Wallis and Futuna,Incomplete KYC
Michael Clay,CL589994,1968-08-18,El Salvador,Yn619942,National ID,2024-07-29,Incomplete,HNI,,,El Salvador,Incomplete KYC
Jessica Burgess,CL310394,2005-01-09,Jersey,mK591966,Passport,2024-01-02,Incomplete,Corporate,,,Jersey,Incomplete KYC
Sabrina Cole,CL167557,1951-10-20,Holy See (Vatican City State),PH849649,Driver License,2024-01-01,Incomplete,HNI,,,Holy See (Vatican City State),Incomplete KYC
Chris Shaw,CL615576,1984-01-25,Guinea,dP507451,Driver License,2024-02-17,Incomplete,HNI,,,Guinea,Incomplete KYC
Michelle Myers,CL929443,1956-05-24,Turkmenistan,wO347323,Passport,2023-09-23,Incomplete,Corporate,,,Turkmenistan,Incomplete KYC
Morgan Davis,CL361728,1983-10-01,Romania,Re974325,National ID,2023-03-18,Incomplete,Corporate,,,Romania,Incomplete KYC
Jesse Rivers,CL239995,1994-10-29,Colombia,ek765024,National ID,2025-05-23,Incomplete,Corporate,,,Colombia,Incomplete KYC
Kelly Jackson,CL778540,1959-06-24,French Guiana,Vw114577,Passport,2024-10-27,Incomplete,Retail,,,French Guiana,Incomplete KYC
Alicia Irwin,CL694797,1964-06-28,Maldives,VS257039,National ID,2024-05-02,Incomplete,HNI,,,Maldives,Incomplete KYC
Brandon Knapp,CL313013,1975-03-18,Guyana,qR148782,Driver License,2023-12-26,Incomplete,Corporate,,,Guyana,Incomplete KYC
Walter Sparks,CL130170,1969-02-16,South Africa,Hs107272,Driver License,2025-02-26,Incomplete,Retail,,,South Africa,Incomplete KYC
Elizabeth Roberts,CL580419,2003-12-05,Moldova,,Driver License,2023-10-03,Incomplete,HNI,,,"Moldova, Republic of",Incomplete KYC
Shawn Brock,CL616780,1958-12-22,Mongolia,tt342683,Driver License,2022-11-12,Incomplete,HNI,,,Mongolia,Incomplete KYC
Lori Gardner,CL222517,1975-02-01,French Southern Territories,GR612875,Passport,2024-01-09,Incomplete,HNI,,,French Southern Territories,Incomplete KYC
John Ali,CL376002,1980-11-22,Lao People's Democratic Republic,Nt080612,Driver License,2023-07-14,Incomplete,Retail,,,Lao People's Democratic Republic,Incomplete KYC
Bethany Daniels,CL900771,1987-12-28,Mozambique,DZ406260,National ID,2024-09-14,Incomplete,Retail,,,Mozambique,Incomplete KYC
Angela Nelson,CL292037,1993-09-22,Kuwait,,Driver License,2022-12-16,Incomplete,Corporate,,,Kuwait,Incomplete KYC
,CL473838,1989-12-12,North korea,hV149750,National ID,2024-12-27,Incomplete,Retail,,,North korea,"Missing Full Name, Incomplete KYC, High-Risk Country"
Ross Wallace,CL180567,1953-04-16,Bosnia and Herzegovina,Iq146723,Driver License,2025-02-08,Incomplete,Retail,,,Bosnia and Herzegovina,Incomplete KYC
Dylan Contreras,CL971051,1989-07-26,Cook Islands,DA754661,Driver License,2024-04-22,Incomplete,HNI,,,Cook Islands,Incomplete KYC
Destiny Holden,CL396698,1973-11-05,Turkmenistan,Ge883586,Passport,2023-03-31,Incomplete,Retail,,,Turkmenistan,Incomplete KYC
Matthew Hart,CL908323,1980-10-08,Palau,yE244617,Passport,2025-01-29,,Retail,,,Palau,Incomplete KYC
Michael Hunter,CL398776,1994-05-05,Palestinian Territory,wL842599,National ID,2025-02-16,Incomplete,Corporate,,,Palestinian Territory,Incomplete KYC
Lisa Pittman,CL555193,1961-05-07,Kenya,Jm517629,Passport,2023-05-03,,Corporate,,,Kenya,Incomplete KYC
Raymond Carroll,CL940480,1954-05-26,Uganda,KE528733,Passport,2024-08-19,Incomplete,Retail,,,Uganda,Incomplete KYC
Steven Castaneda,CL150046,2004-01-19,Guinea,fi176619,Passport,2024-09-13,Incomplete,Corporate,,,Guinea,Incomplete KYC
Tracy Jones,CL924366,1988-08-27,Tunisia,Nd389846,Driver License,2024-10-28,,Corporate,,,Tunisia,Incomplete KYC
Lauren Giles,CL715732,1967-05-28,Qatar,vW005643,National ID,2022-10-03,Incomplete,Corporate,,,Qatar,Incomplete KYC
Robert Rivera,CL296284,2001-01-14,Burundi,SW037199,Passport,2022-08-26,Incomplete,HNI,,,Burundi,Incomplete KYC
,CL222346,1954-04-26,Iran,,National ID,2024-04-09,Incomplete,HNI,,,"Iran, Islamic Republic of","Missing Full Name, Incomplete KYC, High-Risk Country"
Tanya Clay,CL610365,1982-01-30,Netherlands Antilles,Go240107,National ID,2025-04-08,Incomplete,Corporate,,,Netherlands,Incomplete KYC
,CL217348,1978-11-13,Guernsee,XY743000,National ID,2023-05-03,Complete,Retail,,,Guernsey,Missing Full Name
Robert Marks,CL153395,1966-07-05,Montenegro,sc010272,Passport,2023-11-02,Incomplete,Corporate,,,Montenegro,Incomplete KYC
Stephanie Bolton,CL724783,1958-05-01,Guernsey,qI967111,Driver License,2023-05-18,,Corporate,,,Guernsey,Incomplete KYC
Ashley Reed,CL166595,1977-06-17,Qatas,Ho974132,National ID,2023-10-19,Incomplete,Retail,,,Qatas,Incomplete KYC
Barbara Hardy,CL463608,2003-02-14,Saint Vincent and the Grenadines,bF203771,Driver License,2022-08-24,,Corporate,,,Saint Vincent and the Grenadines,Incomplete KYC
James Wilcox,CL559392,1955-04-03,Faroe Islands,yy049670,Passport,2024-05-22,Incomplete,HNI,,,Faroe Islands,Incomplete KYC
James Keller,CL591223,1985-09-27,Aruba,MW040850,Driver License,2023-12-07,Incomplete,Corporate,,,Aruba,Incomplete KYC
Derrick King,CL266309,1993-12-10,Nicaragua,ql901495,National ID,2024-05-22,,Retail,,,Nicaragua,Incomplete KYC
Adam Johnson,CL337701,1973-11-30,Kyrgyz Republic,fr783609,Passport,2025-02-05,Incomplete,Corporate,,,Central African Republic,Incomplete KYC
Ryan Atkinson,CL223794,1986-04-12,Equatorial Guined,GC093511,Driver License,2022-12-25,Incomplete,HNI,,,Equatorial Guinea,Incomplete KYC
Damon Hudson,CL868136,2005-12-04,Malawi,uM616420,Passport,2024-01-13,Incomplete,Retail,,,Malawi,Incomplete KYC
Stephanie Brooks,CL535945,1969-07-06,Grenada,jL902504,Passport,2022-08-11,Incomplete,Corporate,,,Grenada,Incomplete KYC
Marie Friedman,CL925455,1964-10-13,Hong Kong,Uh989868,Driver License,2024-09-29,Incomplete,Corporate,,,Hong Kong,Incomplete KYC
,CL772625,1982-06-13,Palay,iI937639,National ID,2023-07-18,,HNI,,,Palay,"Missing Full Name, Incomplete KYC"
Megan Wade,CL645027,1990-09-16,Singapore,AA445511,Driver License,2024-08-25,Incomplete,HNI,,,Singapore,Incomplete KYC
Sean Bass,CL670871,1951-02-17,Samoa,Bw212886,National ID,2023-01-16,Incomplete,HNI,,,Samoa,Incomplete KYC
Dana Carter,CL416178,1972-06-03,Iran,,National ID,2023-12-07,Complete,HNI,,,"Iran, Islamic Republic of",High-Risk Country
Laura Gilbert,CL954672,1956-04-09,Jersey,FC542144,National ID,2023-06-15,Incomplete,HNI,,,Jersey,Incomplete KYC
Amanda Macdonald,CL196729,1986-02-08,Antarctica (the territory South of 60 deg S),,Passport,2023-05-02,Incomplete,Retail,,,Antarctica,Incomplete KYC
Rodney Wood IV,CL716813,1988-05-15,Albania,hT678274,Driver License,2023-01-05,Incomplete,HNI,,,Albania,Incomplete KYC
